iter	Passed	Remaining
0	5	545
1	10	513
2	15	495
3	20	484
4	25	479
5	30	472
6	35	478
7	41	475
8	46	470
9	51	464
10	57	467
11	63	462
12	68	457
13	74	456
14	79	449
15	84	443
16	90	439
17	95	435
18	100	429
19	106	425
20	112	421
21	118	419
22	123	413
23	129	409
24	136	409
25	142	404
26	147	398
27	153	393
28	158	387
29	163	381
30	169	377
31	175	372
32	180	366
33	185	360
34	190	354
35	196	348
36	201	343
37	206	337
38	211	331
39	217	326
40	223	320
41	228	315
42	235	311
43	240	305
44	245	300
45	250	294
46	256	288
47	261	283
48	267	278
49	273	273
50	278	267
51	283	261
52	288	255
53	294	250
54	300	245
55	305	239
56	310	234
57	315	228
58	320	222
59	326	217
60	332	212
61	337	206
62	343	201
63	348	195
64	353	190
65	359	185
66	364	179
67	369	173
68	374	168
69	379	162
70	384	157
71	390	151
72	396	146
73	402	141
74	407	135
75	412	130
76	417	124
77	422	119
78	428	113
79	433	108
80	438	102
81	443	97
82	448	91
83	455	86
84	460	81
85	466	75
86	471	70
87	476	65
88	482	59
89	487	54
90	492	48
91	497	43
92	502	37
93	508	32
94	514	27
95	519	21
96	525	16
97	530	10
98	535	5
99	540	0
